,cls 0,cls 1,cls 2,cls 3,cls 4,mean,model,type,n_DB
shhs1-205491,0.929824591,0.920962214,0.449999988,0.883449912,0.855457246,0.80793879,TinyUStaging,EEG+EOG,6
shhs1-200126,0.951096117,0.896551728,0.461538464,0.884160757,0.847117782,0.80809297,TinyUStaging,EEG+EOG,6
shhs2-203706,0.976588607,0.893023252,0.640625,0.90691489,0.946882188,0.872806787,TinyUStaging,EEG+EOG,6
shhs1-205479,0.863237143,0.920792103,0.311475396,0.79490447,0.899999976,0.758081818,TinyUStaging,EEG+EOG,6
shhs1-203062,0.978512406,0.935483873,0.611111104,0.902140677,0.914942503,0.868438113,TinyUStaging,EEG+EOG,6
shhs1-202108,0.884444416,0.908616185,0.452554733,0.885096729,0.903474927,0.806837398,TinyUStaging,EEG+EOG,6
shhs1-201319,0.899484515,0.68794328,0.129032254,0.903575301,0.3125,0.58650707,TinyUStaging,EEG+EOG,6
shhs2-203311,0.938547492,0.962499976,0.528301895,0.938342988,0.876712322,0.848880935,TinyUStaging,EEG+EOG,6
shhs1-205684,0.960372984,0.946341455,0.553191483,0.726618707,0.824712634,0.802247453,TinyUStaging,EEG+EOG,6
shhs1-201298,0.901052654,0.973760962,0.533333361,0.904397726,0.631578922,0.788824725,TinyUStaging,EEG+EOG,6
shhs1-201583,0.892057002,0.835365832,0,0.872093022,0.159090906,0.551721352,TinyUStaging,EEG+EOG,6
shhs2-204370,0.945868969,0.977701545,0.584905684,0.91548115,0.037037037,0.692198877,TinyUStaging,EEG+EOG,6
shhs1-201969,0.733564019,0.846153855,0,0.577114403,0.470119536,0.525390363,TinyUStaging,EEG+EOG,6
shhs1-203998,0.962686539,0.966442943,0.357142866,0.900763333,0.908695638,0.819146264,TinyUStaging,EEG+EOG,6
shhs1-202903,0.941828251,0.903765678,0.386363626,0.815267205,0.826347291,0.77471441,TinyUStaging,EEG+EOG,6
shhs2-203241,0.939929307,0.824120581,0.496453911,0.893450618,0.780748665,0.786940616,TinyUStaging,EEG+EOG,6
shhs2-201650,0.951175392,0.946859896,0.477272719,0.833117723,0.860215068,0.81372816,TinyUStaging,EEG+EOG,6
shhs1-205024,0.908011854,0.847583652,0.400000006,0.837944686,0.663366318,0.731381303,TinyUStaging,EEG+EOG,6
shhs1-202115,0.9234339,0.964577675,0.421052635,0.887700558,0.872246683,0.81380229,TinyUStaging,EEG+EOG,6
shhs2-205132,0.971751392,0.966966987,0.747252762,0.868159175,0.742138386,0.85925374,TinyUStaging,EEG+EOG,6
shhs1-204117,0.947368443,0.916230381,0.438356161,0.891786158,0.670588255,0.77286588,TinyUStaging,EEG+EOG,6
shhs2-202986,0.987749815,0.950920224,0.412698418,0.834467113,0.795366824,0.796240479,TinyUStaging,EEG+EOG,6
shhs2-202921,0.869088411,0.821917832,0.150000006,0.778181791,0.832432449,0.690324098,TinyUStaging,EEG+EOG,6
shhs1-205260,0.913705587,0.936708868,0.590476215,0.898843944,0.865979373,0.841142797,TinyUStaging,EEG+EOG,6
shhs2-202549,0.958568752,0.972602725,0.53125,0.901878893,0.752941191,0.823448312,TinyUStaging,EEG+EOG,6
shhs2-205094,0.944071591,0.94650203,0.480769217,0.908602178,0.5090909,0.757807183,TinyUStaging,EEG+EOG,6
shhs1-201134,0.987090349,0.947826087,0.37931034,0.94262296,0.800000012,0.81136995,TinyUStaging,EEG+EOG,6
shhs2-200945,0.936244547,0.333333343,0.100000001,0.884642601,0.764705896,0.603785278,TinyUStaging,EEG+EOG,6
shhs2-201667,0.971357405,0.894308925,0.333333343,0.880952358,0.507692337,0.717528874,TinyUStaging,EEG+EOG,6
shhs2-201298,0.965240657,0.908396959,0.432432443,0.789954364,0.233128831,0.665830651,TinyUStaging,EEG+EOG,6
shhs1-201741,0.984505355,0.929032266,0.540540516,0.786069632,0.605633795,0.769156313,TinyUStaging,EEG+EOG,6
shhs1-200496,0.911392391,0.937037051,0.732394338,0.916246235,0.790874541,0.857588911,TinyUStaging,EEG+EOG,6
shhs1-203562,0.965009212,0.983050823,0.528301895,0.920086384,0.856321812,0.850554025,TinyUStaging,EEG+EOG,6
shhs1-202002,0.821096182,0,0,0.617948711,0,0.287808979,TinyUStaging,EEG+EOG,6
shhs2-201443,0.978647709,0.903954804,0.300000012,0.828000009,0.486486495,0.699417806,TinyUStaging,EEG+EOG,6
